timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
1/1/2000 1:49,0,0,0.003468598
1/1/2000 1:49,0,0,0.003553304
1/1/2000 1:50,0,0,0.003488287
1/1/2000 1:50,0,0,0.003439169
1/1/2000 1:50,0,0,0.00348314
1/1/2000 1:50,0,0,0.003343122
1/1/2000 1:51,0,0,0.002455467
1/1/2000 1:51,0,0,0.005772693
1/1/2000 1:51,0,0,0.002963878
1/1/2000 1:51,0,0,0.003049168
1/1/2000 1:52,0,0,0.003054878
1/1/2000 1:52,0,0,0.004264293
1/1/2000 1:52,0,0,0.004764297
1/1/2000 1:52,0,0,0.003892004
1/1/2000 1:53,0,0,0.003928754
1/1/2000 1:53,0,0,0.003840267
1/1/2000 1:53,0,0,0.003884305
1/1/2000 1:53,0,0,0.003834842
1/1/2000 1:54,0,0,0.003901887
1/1/2000 1:54,0,0,0.003542255
1/1/2000 1:54,0,0,0.003866066
1/1/2000 1:54,0,0,0.003841944
1/1/2000 1:55,0,0,0.003922217
1/1/2000 1:55,0,0,0.003918239
1/1/2000 1:55,0,0,0.003858175
1/1/2000 1:55,0,0,0.003923276
1/1/2000 1:56,0,0,0.003860864
1/1/2000 1:56,0,0,0.003785179
1/1/2000 1:56,0,0,0.003845183
1/1/2000 1:56,0,0,0.003893649
1/1/2000 1:57,0,0,0.003755643
1/1/2000 1:57,0,0,0.00375564
1/1/2000 1:57,0,0,0.003899677
1/1/2000 1:57,0,0,0.003448277
1/1/2000 1:58,0,0,0.003899637
1/1/2000 1:58,2,0,0.005053223
1/1/2000 1:58,0,0,0.003179278
1/1/2000 1:58,0,0,0.003279274
1/1/2000 1:59,0,0,0.003118541
1/1/2000 1:59,0,0,0.003134962
1/1/2000 1:59,0,0,0.003335491
1/1/2000 1:59,0,0,0.003152561
1/1/2000 2:00,0,0,0.003272524
1/1/2000 2:00,0,0,0.003233393
1/1/2000 2:00,0,1,0.003269048
1/1/2000 2:00,0,1,0.003107925
1/1/2000 2:01,0,1,0.003276083
1/1/2000 2:01,73,1,0.074301675
1/1/2000 2:01,170,1,0.092466068
1/1/2000 2:01,7,1,0.005465522
1/1/2000 2:02,0,1,0.003036653
1/1/2000 2:02,23,1,0.022715407
1/1/2000 2:02,0,1,0.001531398
1/1/2000 2:02,0,0,0.001469581
1/1/2000 2:03,0,0,0.00143283
1/1/2000 2:03,0,0,0.001550704
1/1/2000 2:03,0,0,0.001512311
1/1/2000 2:03,0,0,0.001434464
1/1/2000 2:04,0,0,0.00137775
1/1/2000 2:04,0,0,0.00145065
1/1/2000 2:04,0,0,0.001417591
1/1/2000 2:04,0,0,0.001510982
1/1/2000 2:05,0,0,0.001538072
1/1/2000 2:05,0,0,0.001510095
1/1/2000 2:05,0,0,0.001480158
1/1/2000 2:05,0,0,0.001534437
1/1/2000 2:06,0,0,0.001466625
1/1/2000 2:06,0,0,0.001453734
1/1/2000 2:06,0,0,0.001521418
1/1/2000 2:06,0,0,0.001484616
1/1/2000 2:07,0,0,0.001487375
1/1/2000 2:07,0,0,0.001462567
1/1/2000 2:07,0,0,0.001459994
1/1/2000 2:07,0,0,0.001423867
1/1/2000 2:08,0,0,0.001400754
1/1/2000 2:08,0,0,0.001509377
1/1/2000 2:08,0,0,0.001554896
1/1/2000 2:08,0,0,0.001508344
1/1/2000 2:09,0,0,0.001528847
1/1/2000 2:09,0,0,0.001659789
1/1/2000 2:09,0,0,0.001530645
1/1/2000 2:09,0,0,0.00150469
1/1/2000 2:10,0,0,0.001447666
1/1/2000 2:10,0,0,0.00160937
1/1/2000 2:10,0,0,0.001499834
1/1/2000 2:10,0,0,0.001353426
1/1/2000 2:11,0,0,0.001459705
1/1/2000 2:11,0,0,0.001431621
1/1/2000 2:11,0,0,0.001387274
1/1/2000 2:11,0,0,0.001406803
1/1/2000 2:12,0,0,0.001484886
1/1/2000 2:12,0,0,0.001454376
1/1/2000 2:12,82,1,0.057828349
1/1/2000 2:12,0,0,0.003279331
1/1/2000 2:13,0,0,0.002819546
1/1/2000 2:13,0,0,0.002737387
1/1/2000 2:13,0,0,0.002965289
1/1/2000 2:13,0,0,0.002869565
1/1/2000 2:14,0,0,0.002873679
1/1/2000 2:14,0,0,0.003028073
1/1/2000 2:14,0,0,0.003113249
1/1/2000 2:14,0,0,0.00284191
1/1/2000 2:15,0,0,0.00300452
1/1/2000 2:15,0,0,0.003018563
1/1/2000 2:15,0,0,0.003092328
1/1/2000 2:15,0,0,0.00320142
1/1/2000 2:16,0,0,0.003774868
1/1/2000 2:16,0,0,0.003007571
1/1/2000 2:16,0,0,0.003002318
1/1/2000 2:16,0,0,0.00334451
1/1/2000 2:17,0,0,0.002938158
